transaction_id,account_id,transaction_date,transaction_type,transaction_channel,merchant_name,amount,reference,balance_after_transaction,is_fraud
300044,200007,2026-07-04,Deposit,Mobile App,This Bank,565,CASH DEPOSIT,47717,False
300045,200007,2026-07-12,Deposit,Branch,This Bank,3758,CASH DEPOSIT,51475,False
300046,200007,2026-07-01,Card Purchase,POS,Shell,2979,Shell,48496,False
300047,200007,2026-06-27,Card Purchase,Online,Checkers,3562,Checkers,44934,False
300048,200007,2026-06-28,EFT,Online,Woolworths,1897,EFT TO Woolworths,46831,False
300049,200007,2026-06-29,Salary,Online,Employer,934,MONTHLY SALARY,47765,False
300050,200007,2026-07-10,EFT,Branch,Takealot,4969,EFT TO Takealot,52734,False
300051,200007,2026-06-27,EFT,Branch,Pick n Pay,498,EFT TO Pick n Pay,52236,False
300052,200008,2023-11-08,EFT,Online,Netflix,659,EFT TO Netflix,40667,False
300053,200008,2024-12-03,Withdrawal,Online,This Bank,1558,ATM CASH WITHDRAWAL,39109,False
300054,200008,2024-12-07,Deposit,POS,This Bank,1607,CASH DEPOSIT,40716,False
300055,200008,2025-02-22,Card Purchase,Online,Woolworths,3904,Woolworths,36812,False
300056,200008,2025-03-21,Withdrawal,Mobile App,This Bank,3768,ATM CASH WITHDRAWAL,33044,False
300057,200008,2023-11-21,EFT,Online,Netflix,1987,EFT TO Netflix,31057,False
300058,200008,2023-12-13,Withdrawal,Online,This Bank,3015,ATM CASH WITHDRAWAL,28042,False
300059,200008,2024-10-19,EFT,ATM,Checkers,3180,EFT TO Checkers,24862,False
300060,200009,2025-05-11,Deposit,ATM,This Bank,1635,EFT DEPOSIT,36642,False
300061,200009,2024-07-26,Withdrawal,POS,This Bank,1224,ATM CASH WITHDRAWAL,35418,False
300062,200009,2024-08-25,Salary,Mobile App,Employer,3009,MONTHLY SALARY,38427,False
300063,200009,2024-06-22,Withdrawal,Mobile App,This Bank,1480,ATM CASH WITHDRAWAL,36947,False
300064,200009,2025-04-26,Card Purchase,Mobile App,Woolworths,2950,Woolworths,33997,False
300065,200009,2024-09-27,Card Purchase,Online,Netflix,1459,Netflix,32538,False
300066,200009,2024-10-22,Withdrawal,Online,This Bank,1612,ATM CASH WITHDRAWAL,30926,False
300067,200010,2025-01-09,Salary,Online,Employer,3684,MONTHLY SALARY,23688,False
300068,200010,2024-09-05,Deposit,Online,This Bank,1379,EFT DEPOSIT,25067,False
300069,200010,2024-06-20,Card Purchase,Online,Netflix,1262,Netflix,23805,False
300070,200010,2023-01-01,EFT,ATM,Municipality,2945,EFT TO Municipality,26750,True
300071,200011,2023-07-19,Salary,ATM,Employer,4298,MONTHLY SALARY,34304,False
300072,200011,2024-07-21,Withdrawal,Branch,This Bank,2627,ATM CASH WITHDRAWAL,31677,False
300073,200011,2024-07-05,EFT,Online,Shell,4293,EFT TO Shell,35970,False
300074,200011,2024-05-01,Deposit,ATM,This Bank,1032,CASH DEPOSIT,37002,False
300075,200011,2026-05-11,Deposit,Mobile App,This Bank,4725,EFT DEPOSIT,41727,False
300076,200011,2024-01-19,Deposit,ATM,This Bank,3799,CASH DEPOSIT,45526,False
300077,200012,2026-03-01,Deposit,Online,This Bank,1141,EFT DEPOSIT,46150,False
300078,200012,2026-01-26,EFT,Mobile App,Takealot,1843,EFT TO Takealot,47993,False
300079,200012,2025-02-26,EFT,Online,SARS,2661,EFT TO SARS,45332,False
300080,200012,2024-12-11,Deposit,ATM,This Bank,4400,EFT DEPOSIT,49732,False
300081,200012,2025-04-01,Withdrawal,Mobile App,This Bank,4367,ATM CASH WITHDRAWAL,45365,False
300082,200012,2025-03-09,Withdrawal,Branch,This Bank,4966,ATM CASH WITHDRAWAL,40399,False
300083,200012,2025-06-03,EFT,ATM,Woolworths,2715,EFT TO Woolworths,43114,False
300084,200012,2024-09-30,EFT,Branch,Netflix,2664,EFT TO Netflix,45778,False
300085,200012,2025-07-05,EFT,ATM,Landlord,662,EFT TO Landlord,45116,False
300086,200013,2025-10-19,Deposit,POS,This Bank,2053,EFT DEPOSIT,32059,False
300087,200013,2026-02-23,Withdrawal,Mobile App,This Bank,4337,ATM CASH WITHDRAWAL,27722,False
300088,200013,2025-12-28,Deposit,ATM,This Bank,1097,EFT DEPOSIT,28819,False
300089,200013,2025-11-11,Salary,ATM,Employer,4878,MONTHLY SALARY,33697,False
300090,200013,2026-05-14,Card Purchase,Branch,Netflix,653,Netflix,33044,False
300091,200013,2026-06-26,Salary,POS,Employer,2701,MONTHLY SALARY,35745,False
300092,200014,2026-07-06,Withdrawal,ATM,This Bank,113,ATM CASH WITHDRAWAL,34894,False
300093,200014,2026-06-18,Salary,Mobile App,Employer,1269,MONTHLY SALARY,36163,False
300094,200014,2026-06-25,Withdrawal,ATM,This Bank,2913,ATM CASH WITHDRAWAL,33250,False
300095,200014,2026-06-17,Salary,ATM,Employer,207,MONTHLY SALARY,33457,False
300096,200014,2026-07-08,Card Purchase,Online,Woolworths,4010,Woolworths,29447,False
300097,200014,2026-07-05,EFT,Branch,Pick n Pay,2506,EFT TO Pick n Pay,26941,False
300098,200014,2026-06-23,Deposit,Mobile App,This Bank,207,CASH DEPOSIT,27148,False
300099,200015,2026-04-19,EFT,POS,Checkers,891,EFT TO Checkers,35898,False
300100,200015,2025-06-12,Salary,Online,Employer,4705,MONTHLY SALARY,40603,False
300101,200015,2025-08-02,Card Purchase,POS,Pick n Pay,3350,Pick n Pay,37253,False
300102,200015,2025-08-10,Deposit,Branch,This Bank,4686,EFT DEPOSIT,41939,False
300103,200015,2025-12-04,Card Purchase,Mobile App,Checkers,4714,Checkers,37225,False
300104,200015,2026-02-24,Card Purchase,Mobile App,Pick n Pay,699,Pick n Pay,36526,False
300105,200015,2026-05-11,Withdrawal,Branch,This Bank,837,ATM CASH WITHDRAWAL,35689,False
300106,200016,2026-06-10,Deposit,Branch,This Bank,2285,EFT DEPOSIT,27290,False
300107,200016,2026-06-30,Withdrawal,ATM,This Bank,2172,ATM CASH WITHDRAWAL,25118,False
300108,200016,2026-06-26,Card Purchase,ATM,Checkers,2988,Checkers,22130,False
300109,200016,2026-05-06,EFT,POS,Netflix,2612,EFT TO Netflix,19518,False
300110,200016,2026-05-25,Withdrawal,Mobile App,This Bank,3387,ATM CASH WITHDRAWAL,16131,False
300111,200017,2026-01-05,EFT,Online,Landlord,3759,EFT TO Landlord,21246,False
300112,200017,2026-04-20,EFT,ATM,Woolworths,3670,EFT TO Woolworths,17576,False
300113,200017,2026-04-27,Card Purchase,ATM,Woolworths,3380,Woolworths,14196,False
300114,200017,2026-05-09,Deposit,Online,This Bank,1157,CASH DEPOSIT,15353,False
300115,200017,2025-12-04,Salary,ATM,Employer,3465,MONTHLY SALARY,18818,False
300116,200018,2023-11-04,Deposit,Branch,This Bank,4768,CASH DEPOSIT,49777,False
300117,200018,2025-05-01,EFT,Online,Municipality,2755,EFT TO Municipality,47022,False
300118,200018,2025-08-31,Card Purchase,ATM,Pick n Pay,4629,Pick n Pay,42393,False
300119,200018,2026-04-04,Salary,Mobile App,Employer,98,MONTHLY SALARY,42491,False
300120,200018,2024-05-03,EFT,Mobile App,Woolworths,3611,EFT TO Woolworths,38880,False
300121,200018,2023-09-21,Card Purchase,Branch,Shell,1717,Shell,37163,False
300122,200018,2025-07-25,EFT,Branch,Takealot,4926,EFT TO Takealot,32237,False
300123,200018,2023-07-30,Deposit,Branch,This Bank,3994,EFT DEPOSIT,36231,True
300124,200018,2025-07-19,Salary,ATM,Employer,1089,MONTHLY SALARY,37320,False
300125,200019,2025-09-23,Deposit,ATM,This Bank,3628,CASH DEPOSIT,48637,False
300126,200019,2026-06-08,Salary,POS,Employer,2874,MONTHLY SALARY,51511,False
300127,200019,2025-06-09,Salary,Online,Employer,2061,MONTHLY SALARY,53572,False
300128,200019,2025-10-31,Withdrawal,Mobile App,This Bank,3528,ATM CASH WITHDRAWAL,50044,False
300129,200019,2025-07-05,Withdrawal,POS,This Bank,1754,ATM CASH WITHDRAWAL,48290,False
300130,200019,2025-10-06,EFT,Branch,Pick n Pay,1869,EFT TO Pick n Pay,50159,False
300131,200019,2025-12-31,Salary,Mobile App,Employer,1877,MONTHLY SALARY,52036,False
300132,200019,2025-09-10,Deposit,Branch,This Bank,801,EFT DEPOSIT,52837,False
300133,200019,2025-06-24,EFT,Mobile App,Netflix,4823,EFT TO Netflix,48014,False
300134,200020,2025-05-19,EFT,Mobile App,Checkers,4349,EFT TO Checkers,19352,False
300135,200020,2026-07-12,Salary,POS,Employer,880,MONTHLY SALARY,20232,False
300136,200020,2025-09-17,Deposit,Online,This Bank,316,CASH DEPOSIT,20548,False
300137,200021,2026-04-03,Withdrawal,Online,This Bank,2438,ATM CASH WITHDRAWAL,22567,False
300138,200021,2026-05-07,Deposit,Mobile App,This Bank,1417,EFT DEPOSIT,23984,False
300139,200021,2026-03-28,Withdrawal,Online,This Bank,3226,ATM CASH WITHDRAWAL,20758,False
300140,200021,2026-04-16,Salary,POS,Employer,4176,MONTHLY SALARY,24934,False
300141,200021,2026-04-27,Withdrawal,Mobile App,This Bank,3659,ATM CASH WITHDRAWAL,21275,False
300142,200022,2025-04-18,Salary,Mobile App,Employer,2274,MONTHLY SALARY,17277,False
300143,200022,2025-08-11,Card Purchase,Branch,Checkers,155,Checkers,17122,False
300144,200022,2025-09-15,Deposit,POS,This Bank,3711,EFT DEPOSIT,20833,False
300145,200023,2025-10-28,Salary,Online,Employer,1722,MONTHLY SALARY,21726,False
300146,200023,2026-04-25,EFT,Online,SARS,1828,EFT TO SARS,19898,False
300147,200023,2025-06-19,Salary,ATM,Employer,4877,MONTHLY SALARY,24775,False
300148,200023,2025-12-16,Card Purchase,Branch,Takealot,2913,Takealot,21862,False
300149,200024,2026-07-06,Withdrawal,POS,This Bank,2823,ATM CASH WITHDRAWAL,32184,False
300150,200024,2026-06-11,Salary,Mobile App,Employer,466,MONTHLY SALARY,32650,False
300151,200024,2026-07-04,Salary,Branch,Employer,269,MONTHLY SALARY,32919,False
300152,200024,2026-07-01,Withdrawal,Online,This Bank,2645,ATM CASH WITHDRAWAL,30274,False
300153,200024,2026-06-20,Deposit,POS,This Bank,1837,CASH DEPOSIT,32111,False
300154,200024,2026-07-10,EFT,Online,SARS,4787,EFT TO SARS,36898,False
300155,200024,2026-06-23,Card Purchase,Branch,Shell,2615,Shell,34283,False
300156,200025,2025-03-10,Deposit,Online,This Bank,2836,CASH DEPOSIT,47845,False
300157,200025,2025-10-26,EFT,Branch,Pick n Pay,4941,EFT TO Pick n Pay,52786,False
300158,200025,2025-01-28,Deposit,Branch,This Bank,1305,EFT DEPOSIT,54091,False
300159,200025,2026-02-08,Deposit,POS,This Bank,2279,CASH DEPOSIT,56370,False
300160,200025,2026-01-26,Salary,POS,Employer,3866,MONTHLY SALARY,60236,False
300161,200025,2025-01-04,EFT,ATM,Shell,720,EFT TO Shell,60956,False
300162,200025,2026-02-15,Deposit,Online,This Bank,3204,CASH DEPOSIT,64160,False
300163,200025,2026-06-17,Deposit,ATM,This Bank,3103,EFT DEPOSIT,67263,False
300164,200025,2025-03-01,Card Purchase,Online,Netflix,473,Netflix,66790,False
300165,200026,2024-06-07,EFT,Online,SARS,3510,EFT TO SARS,18513,False
300166,200026,2024-07-21,EFT,ATM,Uber,4218,EFT TO Uber,22731,False
300167,200026,2024-12-15,Deposit,Branch,This Bank,3417,EFT DEPOSIT,26148,False
300168,200027,2026-05-02,Deposit,Mobile App,This Bank,3317,CASH DEPOSIT,43325,False
300169,200027,2026-07-05,Salary,Mobile App,Employer,4048,MONTHLY SALARY,47373,False
300170,200027,2026-04-04,Deposit,Mobile App,This Bank,2054,EFT DEPOSIT,49427,False
300171,200027,2026-05-22,Deposit,ATM,This Bank,971,CASH DEPOSIT,50398,False
300172,200027,2026-07-05,Card Purchase,POS,Netflix,1218,Netflix,49180,False
300173,200027,2026-04-18,Card Purchase,POS,Checkers,601,Checkers,48579,False
300174,200027,2026-04-01,Salary,Online,Employer,4666,MONTHLY SALARY,53245,False
300175,200027,2026-05-27,Salary,ATM,Employer,1398,MONTHLY SALARY,54643,False
300176,200028,2022-01-25,Salary,Mobile App,Employer,574,MONTHLY SALARY,50584,False
300177,200028,2022-04-18,Card Purchase,Branch,Checkers,495,Checkers,50089,False
300178,200028,2026-04-14,Deposit,ATM,This Bank,1418,CASH DEPOSIT,51507,False
300179,200028,2025-12-28,Withdrawal,Mobile App,This Bank,257,ATM CASH WITHDRAWAL,51250,False
300180,200028,2026-03-21,EFT,Mobile App,SARS,832,EFT TO SARS,52082,False
300181,200028,2025-06-09,Salary,Mobile App,Employer,854,MONTHLY SALARY,52936,False
300182,200028,2021-09-18,Card Purchase,Mobile App,Woolworths,4831,Woolworths,48105,True
300183,200028,2022-10-08,Withdrawal,Online,This Bank,4776,ATM CASH WITHDRAWAL,43329,False
300184,200028,2021-06-02,Salary,Online,Employer,809,MONTHLY SALARY,44138,False
300185,200028,2025-08-06,Salary,ATM,Employer,4090,MONTHLY SALARY,48228,False
300186,200029,2023-12-08,Deposit,Mobile App,This Bank,544,CASH DEPOSIT,15547,False
300187,200029,2026-04-01,EFT,POS,Uber,1426,EFT TO Uber,14121,False
300188,200029,2025-01-20,Salary,Mobile App,Employer,3839,MONTHLY SALARY,17960,False
300189,200030,2026-03-29,Salary,Mobile App,Employer,4360,MONTHLY SALARY,34366,False
300190,200030,2026-03-16,Salary,Branch,Employer,4389,MONTHLY SALARY,38755,False
300191,200030,2026-05-25,EFT,Online,Municipality,2114,EFT TO Municipality,40869,False
300192,200030,2026-04-29,Salary,Branch,Employer,3429,MONTHLY SALARY,44298,False
300193,200030,2026-02-16,Deposit,Online,This Bank,1178,EFT DEPOSIT,45476,False
300194,200030,2026-02-21,Deposit,ATM,This Bank,4294,EFT DEPOSIT,49770,False
300195,200031,2025-09-18,Withdrawal,POS,This Bank,1430,ATM CASH WITHDRAWAL,38578,False
300196,200031,2026-04-20,EFT,Online,Checkers,4465,EFT TO Checkers,34113,False
300197,200031,2025-11-29,EFT,Mobile App,Uber,2002,EFT TO Uber,32111,False
300198,200031,2025-12-01,Card Purchase,Online,Woolworths,2746,Woolworths,29365,False
300199,200031,2025-05-26,EFT,ATM,Takealot,3475,EFT TO Takealot,32840,False
300200,200031,2026-01-23,Deposit,Mobile App,This Bank,1985,CASH DEPOSIT,34825,False
300201,200031,2025-07-04,Salary,Mobile App,Employer,238,MONTHLY SALARY,35063,False
300202,200031,2025-07-09,Withdrawal,Mobile App,This Bank,4640,ATM CASH WITHDRAWAL,30423,False
300203,200032,2026-02-08,Deposit,Branch,This Bank,4048,CASH DEPOSIT,39055,False
300204,200032,2025-12-07,Withdrawal,Branch,This Bank,2211,ATM CASH WITHDRAWAL,36844,False
300205,200032,2026-03-19,Card Purchase,ATM,Checkers,2469,Checkers,34375,False
300206,200032,2026-02-12,Salary,POS,Employer,3771,MONTHLY SALARY,38146,False
300207,200032,2026-04-09,EFT,ATM,Landlord,3089,EFT TO Landlord,35057,False
300208,200032,2026-02-13,Salary,Online,Employer,3909,MONTHLY SALARY,38966,False
300209,200032,2026-06-06,Withdrawal,ATM,This Bank,3863,ATM CASH WITHDRAWAL,35103,False
300210,200033,2023-12-20,Withdrawal,Branch,This Bank,1047,ATM CASH WITHDRAWAL,33960,False
300211,200033,2024-06-17,Card Purchase,Mobile App,Takealot,825,Takealot,33135,False
300212,200033,2024-03-04,EFT,Branch,Woolworths,3960,EFT TO Woolworths,29175,False
300213,200033,2025-03-01,Salary,ATM,Employer,2551,MONTHLY SALARY,31726,False
300214,200033,2024-07-03,Card Purchase,Branch,Netflix,1604,Netflix,30122,False
300215,200033,2025-07-16,EFT,Online,Municipality,1116,EFT TO Municipality,29006,False
300216,200033,2025-10-26,EFT,POS,Takealot,1847,EFT TO Takealot,30853,False
300217,200034,2026-04-20,Card Purchase,ATM,Netflix,869,Netflix,39139,False
300218,200034,2026-07-10,Deposit,POS,This Bank,2093,EFT DEPOSIT,41232,False
300219,200034,2025-09-20,Withdrawal,POS,This Bank,4363,ATM CASH WITHDRAWAL,36869,False
300220,200034,2025-10-21,Deposit,POS,This Bank,1109,CASH DEPOSIT,37978,True
300221,200034,2026-01-07,Withdrawal,POS,This Bank,838,ATM CASH WITHDRAWAL,37140,False
300222,200034,2025-02-18,Withdrawal,Mobile App,This Bank,4673,ATM CASH WITHDRAWAL,32467,False
300223,200034,2024-10-28,Card Purchase,Mobile App,Shell,4115,Shell,28352,False
300224,200034,2025-08-07,EFT,Online,Uber,2497,EFT TO Uber,30849,False
300225,200035,2026-04-09,Card Purchase,Branch,Takealot,1253,Takealot,38755,False
300226,200035,2024-12-11,Card Purchase,Branch,Shell,3676,Shell,35079,False
300227,200035,2022-09-21,Deposit,Online,This Bank,4764,EFT DEPOSIT,39843,False
300228,200035,2024-07-20,Withdrawal,Branch,This Bank,1039,ATM CASH WITHDRAWAL,38804,False
300229,200035,2024-02-15,Salary,Online,Employer,3738,MONTHLY SALARY,42542,False
300230,200035,2025-07-29,Withdrawal,Branch,This Bank,1569,ATM CASH WITHDRAWAL,40973,False
300231,200035,2026-06-01,Withdrawal,Mobile App,This Bank,3409,ATM CASH WITHDRAWAL,37564,False
300232,200035,2026-01-17,Deposit,POS,This Bank,3424,EFT DEPOSIT,40988,False
300233,200036,2026-06-30,Card Purchase,ATM,Uber,2007,Uber,27999,False
300234,200036,2026-07-08,Card Purchase,ATM,Netflix,2540,Netflix,25459,False
300235,200036,2026-07-10,EFT,ATM,Shell,4080,EFT TO Shell,29539,False
300236,200036,2026-07-07,Card Purchase,Mobile App,Takealot,2465,Takealot,27074,False
300237,200036,2026-07-05,Salary,Online,Employer,4966,MONTHLY SALARY,32040,False
300238,200036,2026-07-06,EFT,Mobile App,Pick n Pay,3330,EFT TO Pick n Pay,28710,False
300239,200037,2026-06-30,Deposit,POS,This Bank,4208,CASH DEPOSIT,39215,False
300240,200037,2026-07-11,Salary,POS,Employer,3339,MONTHLY SALARY,42554,False
300241,200037,2026-07-08,Withdrawal,ATM,This Bank,4290,ATM CASH WITHDRAWAL,38264,False
300242,200037,2026-06-26,EFT,Online,Municipality,3748,EFT TO Municipality,42012,False
300243,200037,2026-06-29,EFT,ATM,Woolworths,2150,EFT TO Woolworths,44162,False
300244,200037,2026-07-12,EFT,Branch,Uber,3789,EFT TO Uber,40373,False
300245,200037,2026-07-09,Salary,ATM,Employer,1623,MONTHLY SALARY,41996,False
300246,200038,2026-06-22,EFT,POS,Netflix,2017,EFT TO Netflix,37024,False
300247,200038,2025-12-20,EFT,ATM,Landlord,2945,EFT TO Landlord,39969,False
300248,200038,2026-05-28,Card Purchase,Mobile App,Woolworths,1852,Woolworths,38117,False
300249,200038,2026-03-11,Salary,ATM,Employer,3199,MONTHLY SALARY,41316,False
300250,200038,2026-07-07,Deposit,POS,This Bank,689,EFT DEPOSIT,42005,False
300251,200038,2026-02-03,EFT,ATM,Pick n Pay,2180,EFT TO Pick n Pay,44185,False
300252,200038,2025-09-12,Salary,POS,Employer,3153,MONTHLY SALARY,47338,False
300253,200039,2025-09-01,Card Purchase,POS,Uber,929,Uber,39079,False
300254,200039,2024-04-25,Withdrawal,Branch,This Bank,3073,ATM CASH WITHDRAWAL,36006,False
300255,200039,2025-03-17,Deposit,Branch,This Bank,3762,EFT DEPOSIT,39768,True
300256,200039,2024-07-12,Deposit,Online,This Bank,3539,EFT DEPOSIT,43307,True
300257,200039,2024-05-13,Salary,ATM,Employer,2121,MONTHLY SALARY,45428,False
300258,200039,2024-08-03,Salary,ATM,Employer,381,MONTHLY SALARY,45809,False
300259,200039,2024-08-14,Deposit,Mobile App,This Bank,509,CASH DEPOSIT,46318,False
300260,200039,2025-10-22,Withdrawal,ATM,This Bank,4498,ATM CASH WITHDRAWAL,41820,False
300261,200040,2024-01-05,Deposit,POS,This Bank,3217,CASH DEPOSIT,18220,False
300262,200040,2024-07-13,Withdrawal,Mobile App,This Bank,1097,ATM CASH WITHDRAWAL,17123,False
300263,200040,2024-07-31,Salary,Branch,Employer,2705,MONTHLY SALARY,19828,False
300264,200041,2026-06-01,Deposit,ATM,This Bank,3713,EFT DEPOSIT,33719,False
300265,200041,2026-02-05,Withdrawal,Branch,This Bank,1798,ATM CASH WITHDRAWAL,31921,False
300266,200041,2025-08-27,Salary,Mobile App,Employer,854,MONTHLY SALARY,32775,False
300267,200041,2025-05-30,Deposit,ATM,This Bank,3909,CASH DEPOSIT,36684,False
300268,200041,2025-10-24,Card Purchase,POS,Shell,3462,Shell,33222,False
300269,200041,2025-09-25,Withdrawal,Mobile App,This Bank,2161,ATM CASH WITHDRAWAL,31061,False
300270,200042,2026-05-13,Card Purchase,Branch,Woolworths,307,Woolworths,49703,False
300271,200042,2024-10-30,Deposit,POS,This Bank,3041,EFT DEPOSIT,52744,False
300272,200042,2026-04-07,EFT,POS,Takealot,2197,EFT TO Takealot,54941,False
300273,200042,2026-04-18,Card Purchase,ATM,Uber,3326,Uber,51615,False
300274,200042,2024-08-17,Salary,Branch,Employer,3421,MONTHLY SALARY,55036,False
300275,200042,2024-10-29,Withdrawal,POS,This Bank,2067,ATM CASH WITHDRAWAL,52969,False
300276,200042,2024-06-04,Withdrawal,ATM,This Bank,737,ATM CASH WITHDRAWAL,52232,False
300277,200042,2025-08-17,Card Purchase,ATM,Shell,3336,Shell,48896,False
300278,200042,2025-08-16,Deposit,POS,This Bank,2616,EFT DEPOSIT,51512,False
300279,200042,2026-03-13,Deposit,Branch,This Bank,1527,EFT DEPOSIT,53039,False
300280,200043,2025-12-27,Deposit,Online,This Bank,878,EFT DEPOSIT,40886,False
300281,200043,2026-01-29,Deposit,Mobile App,This Bank,3336,CASH DEPOSIT,44222,False
300282,200043,2025-02-02,Salary,ATM,Employer,4827,MONTHLY SALARY,49049,False
300283,200043,2025-08-20,Withdrawal,Mobile App,This Bank,2912,ATM CASH WITHDRAWAL,46137,False
300284,200043,2026-04-12,Deposit,POS,This Bank,2989,CASH DEPOSIT,49126,False
300285,200043,2026-01-28,Withdrawal,Online,This Bank,1759,ATM CASH WITHDRAWAL,47367,False
300286,200043,2025-11-21,Deposit,ATM,This Bank,3793,CASH DEPOSIT,51160,False
300287,200043,2026-03-21,Salary,POS,Employer,2471,MONTHLY SALARY,53631,False
300288,200044,2025-12-10,EFT,Branch,Netflix,1892,EFT TO Netflix,43117,False
300289,200044,2026-04-16,Withdrawal,Branch,This Bank,139,ATM CASH WITHDRAWAL,42978,False
300290,200044,2025-12-04,Withdrawal,Mobile App,This Bank,3442,ATM CASH WITHDRAWAL,39536,False
300291,200044,2026-03-01,Card Purchase,Online,Checkers,100,Checkers,39436,False
300292,200044,2025-12-21,Salary,Mobile App,Employer,439,MONTHLY SALARY,39875,False
300293,200044,2025-11-30,Deposit,Online,This Bank,3015,EFT DEPOSIT,42890,False
300294,200044,2025-09-27,Card Purchase,Mobile App,Takealot,2023,Takealot,40867,False
300295,200044,2026-04-16,Salary,ATM,Employer,4206,MONTHLY SALARY,45073,False
300296,200044,2026-05-24,EFT,ATM,Uber,3576,EFT TO Uber,41497,False
300297,200045,2026-06-11,Withdrawal,Branch,This Bank,3119,ATM CASH WITHDRAWAL,46891,False
300298,200045,2026-05-31,EFT,POS,Uber,864,EFT TO Uber,47755,False
300299,200045,2026-04-04,Salary,Online,Employer,3385,MONTHLY SALARY,51140,False
300300,200045,2026-05-10,EFT,Branch,SARS,4444,EFT TO SARS,55584,False
300301,200045,2026-02-17,Card Purchase,ATM,Uber,2155,Uber,53429,False
300302,200045,2026-05-24,EFT,POS,Pick n Pay,1567,EFT TO Pick n Pay,51862,False
300303,200045,2026-04-26,Deposit,ATM,This Bank,1511,CASH DEPOSIT,53373,False
